model,kind,context,ttft_ms,tpot_ms_median,tpot_ms_p10,tpot_ms_p90,tok_per_s,peak_mem_mb
gdn-pure,gdn,128,56.3599,34.51136,33.49094,37.89005,28.98,3221.9
gdn-pure,gdn,512,56.6917,34.35571,33.32813,36.94592,29.11,3029.7
gdn-pure,gdn,1024,58.0803,35.48825,33.32608,37.69037,28.18,3064.6
gdn-pure,gdn,2048,61.737,37.69242,34.90202,37.90848,26.53,3245.3
gdn-pure,gdn,4096,74.3721,34.29325,33.31072,36.47386,29.16,3278.9
gdn-pure,gdn,8192,139.9337,35.06381,33.50221,37.28384,28.52,3552.7
gdn-pure,gdn,16384,279.6452,34.57843,33.55648,36.93158,28.92,4110.7
gdn-pure,gdn,32768,548.9736,35.6352,34.05927,38.0672,28.06,5226.5
gdn-pure,gdn,65536,1097.8765,34.89946,34.01318,36.87834,28.65,7458.1
pythia-1.4b,transformer,128,11.5855,11.5799,11.29574,12.25114,86.36,2912.4
pythia-1.4b,transformer,512,12.7232,11.56915,11.40634,12.03917,86.44,3093.7
pythia-1.4b,transformer,1024,19.4765,11.48928,11.25376,12.0832,87.04,3347.7
pythia-1.4b,transformer,2048,36.7032,11.37459,11.2681,12.2071,87.92,3857.6
pythia-1.4b,transformer,4096,74.3281,11.71046,11.28653,12.71501,85.39,4878.4
pythia-1.4b,transformer,8192,159.5863,12.15846,11.93984,13.02528,82.25,6916.8
pythia-1.4b,transformer,16384,388.095,18.60352,18.56102,18.70438,53.75,10995.9
pythia-1.4b,transformer,32768,1044.7135,32.02765,31.97542,32.16282,31.22,19153.9
pythia-1.4b,transformer,65536,3263.7092,59.41248,59.35309,59.50669,16.83,35470.0
opt-1.3b,transformer,128,8.4941,8.87501,8.64051,9.63482,112.68,2716.4
opt-1.3b,transformer,512,10.5513,9.40749,8.83712,9.92973,106.3,2867.4
opt-1.3b,transformer,1024,17.2769,9.04704,8.81459,9.53958,110.53,3068.8
